date,file,Car,Motorcycle,Autorickshaw,Pedestrian
2025-02-13_15-24-30.972,00000000.jpeg,15,1,0,0
2025-02-13_15-24-30.972,00000050.jpeg,12,0,1,0
2025-02-13_15-24-30.972,00000100.jpeg,6,3,0,0
2025-02-13_15-24-30.972,00000150.jpeg,10,3,0,0
2025-02-13_15-24-30.972,00000200.jpeg,7,3,0,0
2025-03-25_15-35-54.464-5-38,00000045.jpeg,9,1,1,1
2025-03-25_15-35-54.464-5-38,00000095.jpeg,9,1,1,1
2025-03-25_15-35-54.464-5-38,00000145.jpeg,9,1,1,1
2025-03-25_15-35-54.464-5-38,00000195.jpeg,9,1,1,1
2025-03-25_15-35-54.464-5-38,00000250.jpeg,9,1,1,1
2025-03-25_15-35-54.464-5-38,00000300.jpeg,9,1,1,1
2025-02-13_15-57-00.567,00000020.jpeg,10,1,0,0
2025-02-13_15-57-00.567,00000070.jpeg,9,0,0,0
2025-02-13_15-57-00.567,00000120.jpeg,10,0,0,0
2025-02-13_15-57-00.567,00000170.jpeg,8,0,0,1
2025-02-13_15-57-00.567,00000315.jpeg,10,0,0,1
2025-02-13_15-57-00.567,00000365.jpeg,10,0,1,1
2025-02-13_15-57-00.567,00000415.jpeg,13,0,0,0
2025-02-13_15-57-00.567,00000465.jpeg,10,0,0,0
2025-02-13_15-57-00.567,00000610.jpeg,8,0,0,1
2025-02-13_15-57-00.567,00000660.jpeg,11,0,0,1
2025-02-13_15-57-00.567,00000710.jpeg,10,0,0,1
2025-02-13_15-57-00.567,00000760.jpeg,6,1,0,1
2025-02-12_14-16-08.907,00000040.jpeg,11,2,0,2
2025-02-12_14-16-08.907,00000090.jpeg,11,1,0,0
2025-02-12_14-16-08.907,00000140.jpeg,11,3,0,0
2025-02-12_14-16-08.907,00000190.jpeg,11,3,0,0
2025-04-04_13-05-05.936-300-269,00000455.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00000505.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00000555.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00000605.jpeg,1,0,0,0
2025-04-04_13-05-05.936-300-269,00000660.jpeg,1,0,0,0
2025-04-04_13-05-05.936-300-269,00000710.jpeg,1,0,0,0
2025-04-04_13-05-05.936-300-269,00000760.jpeg,1,0,0,1
2025-04-04_13-05-05.936-300-269,00000810.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00000865.jpeg,3,0,0,0
2025-04-04_13-05-05.936-300-269,00000915.jpeg,2,0,2,0
2025-04-04_13-05-05.936-300-269,00000965.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00001015.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00001070.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00001120.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00001170.jpeg,1,0,0,0
2025-04-04_13-05-05.936-300-269,00001220.jpeg,3,0,0,0
2025-04-04_13-05-05.936-300-269,00001275.jpeg,2,0,0,0
2025-04-04_13-05-05.936-300-269,00001325.jpeg,0,0,1,0
2025-04-04_13-05-05.936-300-269,00001375.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00001425.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00001480.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00001530.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00001580.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00001630.jpeg,1,0,3,0
2025-04-04_13-05-05.936-300-269,00001685.jpeg,1,0,1,0
2025-04-04_13-05-05.936-300-269,00001735.jpeg,3,0,1,0
